epoch,train_mse,val_mse,val_psnr,val_ssim,noisy_mse,noisy_psnr,noisy_ssim,train_phase_time_sec,validation_time_sec,epoch_time_sec,total_time_sec,train_images_per_sec,validation_images_per_sec,val_lambda_mean,val_lambda_std,val_lambda_min,val_lambda_max,val_lambda_p01,val_lambda_median,val_lambda_p99,val_lambda_lower_saturation_fraction,val_lambda_upper_saturation_fraction
1,0.0012288227006865783,0.0011328451678855344,29.971993103027344,0.7950224447250366,0.009698207005858422,20.136563453674317,0.32226710945367815,77.19670479200431,4.723591541987844,81.92078120799852,81.92095112500829,6.4769604006696895,10.585165875489382,2.967646737098694,0.06660911753773689,2.2729578018188477,3.1143481731414795,2.509537949562073,2.974847273826599,3.0309288120269775,0.0,0.0
2,0.0011615043711244652,0.0011294183391146362,29.997848892211913,0.7972052264213562,0.009698207005858422,20.136563453674317,0.32226710945367815,74.96221966602025,4.631137042015325,79.59370237501571,161.63845441598096,6.670026611106953,10.796484652987417,3.0497144174575808,0.14520260617136954,2.2777318954467773,3.5274739265441895,2.572532181739807,3.0552445793151857,3.3467976665496826,0.0,0.0
3,0.0011649016161391047,0.0011188471753848716,30.030926361083985,0.797157461643219,0.009698207005858422,20.136563453674317,0.32226710945367815,74.74703825000324,4.612830000027316,79.36020674998872,241.0992442079878,6.6892282517960275,10.839332904031563,3.004329357147217,0.3118335098028183,2.185717821121216,4.319924354553223,2.406782908439636,2.9859395742416384,3.788639659881592,0.0,0.0
4,0.0011386496887498651,0.0011289444711292161,30.015153465270995,0.7978682065010071,0.009698207005858422,20.136563453674317,0.32226710945367815,74.8820734580222,4.6309994170151185,79.51339974999428,320.7124219579855,6.6771655338883305,10.796805505155339,3.256972322463989,0.6909331932663918,2.0399162769317627,6.640951156616211,2.1928853607177734,3.1653299808502195,5.121540246009826,0.0,0.0
5,0.0010873096806535614,0.0011198490136303007,29.843247108459472,0.7664534151554108,0.009698207005858422,20.136563453674317,0.32226710945367815,74.19736325001577,4.578421292011626,78.77611525001703,399.5385007910081,6.738783941892891,10.920794922747584,1.9145794653892516,0.34323221176862717,1.0943183898925781,4.398334980010986,1.4009319686889647,1.8531405591964722,2.984232783317566,0.0,0.0
6,0.0010407739208676504,0.0010594588046660648,30.232990112304687,0.7971869659423828,0.009698207005858422,20.136563453674317,0.32226710945367815,72.77272666699719,4.702169875003165,77.47523424998508,477.0633952909848,6.870705866058371,10.633388696950544,3.0440249395370484,0.8918413650989533,0.7185996174812317,8.298670768737793,1.3864164459705353,3.0225504660606384,5.367432889938354,0.0,0.0
7,0.0009568792709469563,0.0008557619556086137,31.216427154541016,0.8465685904026031,0.009698207005858422,20.136563453674317,0.32226710945367815,74.97255212502205,4.684236000000965,79.65711620901129,556.8151937079965,6.6691073710044515,10.67409925545803,7.580277156829834,4.416533341407776,0.03673219680786133,31.75797462463379,0.6593434262275696,7.737744479179383,22.343816413879395,0.0049310302734375,0.0
8,0.0008284928468128783,0.0008499349089106545,31.245278701782226,0.8492741632461548,0.009698207005858422,20.136563453674317,0.32226710945367815,75.0967684169882,4.678124083002331,79.77521745799459,636.6871690409898,6.658076113524098,10.688044847222384,8.950652570724488,5.668747773170471,0.027492543682456017,32.421058654785156,0.5865289157629013,8.8084095454216,23.981841297149657,0.006876220703125,0.0
9,0.0007933770805830136,0.0008409428759478032,31.259447784423827,0.8514761674404144,0.009698207005858422,20.136563453674317,0.32226710945367815,74.95983020900167,4.699681291996967,79.65984012500849,716.4454302910017,6.6702392282094145,10.639019306510086,8.031690015792847,5.832929449081421,0.01444573886692524,32.326271057128906,0.444066661298275,6.976130409240723,22.421078243255614,0.0141552734375,0.0
10,0.0008032163043826586,0.0008364978339523077,31.330342025756835,0.8518090093135834,0.009698207005858422,20.136563453674317,0.32226710945367815,74.62784233299317,4.678536916006124,79.30671395800891,795.8509345409984,6.69991231649141,10.68710173664355,11.908945217132569,7.486761312484742,0.03613809123635292,33.050960540771484,0.6410940283536911,11.765062794685363,27.125609397888184,0.00535430908203125,3.0517578125e-06
11,0.0008488714724990132,0.0009299115551402792,30.903020057678223,0.8342044997215271,0.009698207005858422,20.136563453674317,0.32226710945367815,75.02149116600049,4.6783574580040295,79.70018487499328,875.6474492909911,6.664756888044882,10.687511685208415,17.423457622528076,8.53551486968994,0.08372578769922256,33.212982177734375,1.0708628332614898,19.56093957901001,30.433027839660646,0.00118377685546875,0.000802001953125
12,0.0007772695487747115,0.0008158337575150654,31.36815963745117,0.8527320861816406,0.009698207005858422,20.136563453674317,0.32226710945367815,75.07855954201659,4.828663916996447,79.90756308400887,955.6048674999911,6.659690903102403,10.354831245141053,8.395675082206726,6.560592627525329,0.039090659469366074,33.130653381347656,0.5564239707589149,6.654183599948883,25.175403861999513,0.005543212890625,7.9345703125e-06
13,0.0007517417025046598,0.0007973694382235408,31.50332103729248,0.8592850661277771,0.009698207005858422,20.136563453674317,0.32226710945367815,75.16923891697661,4.669224666984519,79.83878854199429,1035.5382220000029,6.651657076802961,10.708415971830078,9.74156904220581,7.320589427947998,0.05756666883826256,33.19951248168945,0.668506174981594,7.944858722686767,27.069681816101074,0.00309295654296875,8.148193359375e-05
14,0.0008371682567676543,0.0007885538780828938,31.5588171005249,0.860690747499466,0.009698207005858422,20.136563453674317,0.32226710945367815,74.87248212500708,4.680309333023615,79.55312579200836,1115.1922975830093,6.678020893780443,10.68305456804039,9.392156982421875,6.916386737823486,0.04088405892252922,33.238983154296875,0.7192181476950645,7.698017957210541,27.177625408172606,0.00359954833984375,0.00017547607421875
